sym,at,day,ses,up48,dn48,went,px48,oi48,fund_min,board,lead,top24,ladder,r1,fneg,flush,topdn
ARK,14.09 16:11,Mon,НЙ,14,-12,0,35,248,-2.0,-1.9,1,-25,1,0,1,1,1
ARK,16.09 02:44,Tue,Сидней,12,-7,0,8,51,-2.0,-3.5,1,12,1,1,1,1,0
ARK,16.09 15:09,Wed,Лондон,1,-12,0,-8,-15,-0.123,-2.9,1,-2,1,0,1,1,0
TREE,14.09 14:28,Mon,Лондон,15,-12,0,4,-5,-0.552,-0.4,1,17,1,0,1,0,0
TREE,15.09 04:39,Tue,Токио,14,-13,0,2,-13,-0.018,0.4,1,-1,1,0,0,0,0
RIVER,14.09 14:28,Mon,Лондон,7,-5,0,-4,-14,0.005,-0.4,1,-4,0,0,0,0,0
RIVER,15.09 10:24,Tue,Лондон,6,-7,0,-5,-12,0.005,-1.6,1,-5,0,0,0,1,0
SOMI,14.09 16:40,Mon,НЙ,8,-5,0,1,-4,0.005,-1.4,1,-2,0,0,0,1,0
LAB,14.09 19:10,Mon,НЙ,4,-12,0,-25,-20,0.005,-0.4,1,-11,0,0,0,0,1
KNC,14.09 21:39,Mon,НЙ,5,-10,0,6,11,0.01,0.0,1,4,0,0,0,0,0
KNC,15.09 06:10,Tue,Токио,2,-12,0,3,-2,0.01,-0.4,1,9,0,0,0,0,0
KNC,15.09 13:09,Tue,Лондон,8,-6,0,-4,-3,0.01,-1.8,1,3,0,0,0,1,0
WAXP,15.09 05:10,Tue,Токио,0,-15,0,11,44,-0.53,0.1,1,-6,0,0,1,0,0
WAXP,15.09 17:10,Tue,НЙ,1,-12,0,2,1,-0.53,-1.2,1,3,0,0,1,1,0
WAXP,16.09 08:12,Wed,Токио,-1,-8,0,-2,25,-0.53,-4.1,1,20,0,1,1,1,0
WAXP,17.09 19:09,Thu,НЙ,10,-1,0,-8,-24,-0.004,4.6,1,-8,0,0,0,0,0
GRIFFAIN,15.09 16:39,Tue,НЙ,12,-11,0,-5,-12,0.005,-0.5,1,-2,1,0,0,0,0
SKR,15.09 22:09,Tue,НЙ,13,-3,0,-3,-13,0.005,-4.4,1,3,1,0,0,1,0
CRWD,16.09 05:44,Wed,Токио,4,-3,0,13,131,-0.04,-4.6,1,-4,0,0,0,1,0
CRWD,16.09 18:39,Wed,НЙ,2,-5,0,3,89,-0.04,-4.2,1,4,0,1,0,1,0
CRWD,17.09 05:39,Thu,Токио,3,-4,0,4,69,-0.04,0.8,1,2,0,1,0,0,0
CRWD,17.09 20:09,Thu,НЙ,0,-5,0,1,9,-0.04,4.9,1,1,0,0,0,0,0
AIN,16.09 08:39,Wed,Токио,7,-20,0,-69,35,-0.005,-3.9,1,-21,1,0,0,1,1
ZIL,16.09 11:09,Wed,Лондон,7,-5,0,-1,8,-0.208,-3.6,1,6,0,0,1,1,0
ZIL,17.09 21:09,Thu,НЙ,15,-5,0,6,18,-0.196,5.3,1,0,0,1,1,0,0
ZIL,21.09 19:13,Mon,НЙ,6,-6,0,13,33,-0.396,5.5,1,3,0,0,1,0,0
ZIL,22.09 06:12,Tue,Токио,8,-4,0,0,-4,-0.396,4.2,1,4,0,0,1,0,0
BR,16.09 19:10,Wed,НЙ,48,-17,1,17,26,0.005,-3.9,1,-27,1,0,0,1,1
BR,18.09 03:39,Fri,Токио,85,-8,1,165,313,0.005,2.1,1,16,1,0,0,0,0
BR,18.09 17:41,Fri,НЙ,69,-6,1,36,52,0.025,4.4,1,6,1,0,0,0,0
BR,19.09 05:19,Sat,Токио,75,2,1,41,29,0.025,5.2,1,10,1,0,0,0,0
BR,21.09 06:16,Mon,Токио,0,-22,0,44,23,0.039,1.8,1,5,1,0,0,0,0
BR,22.09 09:41,Tue,Токио,7,-19,0,4,-14,0.034,2.3,1,4,1,0,0,0,0
