symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
GWEIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,40,5,3,3,down,0.587,0,-0.03363,0.4842,10.96,46,94.2,,flow_dormant=база не была тихой: оборот 1.46 к падению > 0.95 | flow_hidden=поток не растёт: наклон -0.03363 < 0.01 | flow_leverage=цена идёт: +78.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.29 > 0.95,
VIRTUALUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,63,10,5,10,up,0.164,0,-0.01802,0.4869,1.91,220,61.6,,flow_dormant=цикла не было: рост до пика x1.91 < x3.0 | flow_hidden=поток не растёт: наклон -0.01802 < 0.01 | flow_leverage=фандинг не отрицательный: 1.8% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.02 > 0.95,
MOVEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,96,14,8,10,none,0.0,0,-0.02527,0.4877,1.44,208,86.5,,flow_dormant=цикла не было: рост до пика x1.44 < x3.0 | flow_hidden=поток не растёт: наклон -0.02527 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 8.38 > 0.95,
GIGGLEUSDT,1,59,flow_taker,умеренный,2,дни,0.0,0.0,0.0,34.5,0.0,0.0,28.904999999999998,42,4,2,3,up,0.183,0,-0.01922,0.4918,1.48,222,74.9,,flow_dormant=цикла не было: рост до пика x1.48 < x3.0 | flow_hidden=цена растёт: наклон 0.00630 > 0.002 | flow_leverage=цена идёт: -25.7% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.44 > 0.95,
JTOUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,51.4,0.0,0.5147833333333334,109,9,5,10,up,0.764,0,-0.02589,0.4876,4.24,49,47.1,,flow_dormant=база не была тихой: оборот 2.02 к падению > 0.95 | flow_hidden=поток не растёт: наклон -0.02589 < 0.01 | flow_leverage=цена идёт: +10.9% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.24 > 0.95,
PLUMEUSDT,1,53,flow_churn,умеренный,2,дни,0.0,0.0,27.6,0.0,0.0,0.0,0.012313333333333334,105,10,8,10,up,0.164,0,-0.02524,0.487,1.47,231,58.8,,flow_dormant=цикла не было: рост до пика x1.47 < x3.0 | flow_hidden=цена растёт: наклон 0.00275 > 0.002 | flow_leverage=цена идёт: +16.1% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 4.62 > 0.95,
OPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,55,6,2,10,up,0.529,0,-0.01491,0.4906,1.51,213,78.3,,flow_dormant=цикла не было: рост до пика x1.51 < x3.0 | flow_hidden=поток не растёт: наклон -0.01491 < 0.01 | flow_leverage=фандинг не отрицательный: 8.9% APR > -5.0% | flow_spring=нет опорной зоны под ценой,
SKYAIUSDT,1,100,flow_fuel,экстремальный,25,недели,0.0,0.0,0.0,0.0,80.0,0.0,0.06278666666666667,132,8,7,10,down,0.202,0,0.0,0.4994,29.75,100,97.4,,flow_dormant=база широка: 2007.8% при падении 97.4% — доля 20.62 > 0.55 | flow_hidden=поток не растёт: наклон 0.00000 < 0.01 | flow_leverage=цена идёт: +179.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 2.09 > 0.95,
XAIUSDT,1,57,flow_churn,умеренный,25,недели,0.0,0.0,31.9,0.0,0.0,0.0,0.006585166666666666,83,14,7,10,up,0.165,0,-0.04335,0.4766,1.56,209,74.6,,flow_dormant=цикла не было: рост до пика x1.56 < x3.0 | flow_hidden=поток не растёт: наклон -0.04335 < 0.01 | flow_leverage=цена идёт: +14.4% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
ARBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,63,3,2,10,up,0.211,0,-0.03457,0.4826,1.32,220,69.1,,flow_dormant=цикла не было: рост до пика x1.32 < x3.0 | flow_hidden=поток не растёт: наклон -0.03457 < 0.01 | flow_leverage=фандинг не отрицательный: 1.7% APR > -5.0% | flow_spring=нет опорной зоны под ценой,
